[2026-06-01 19:18:17] INFO epoch 5 it 1000/1704 loss nan
[2026-06-01 19:18:18] INFO epoch 5 it 1050/1704 loss nan
[2026-06-01 19:18:19] INFO epoch 5 it 1100/1704 loss nan
[2026-06-01 19:18:20] INFO epoch 5 it 1150/1704 loss nan
[2026-06-01 19:18:21] INFO epoch 5 it 1200/1704 loss nan
[2026-06-01 19:18:21] INFO epoch 5 it 1250/1704 loss nan
[2026-06-01 19:18:22] INFO epoch 5 it 1300/1704 loss nan
[2026-06-01 19:18:23] INFO epoch 5 it 1350/1704 loss nan
[2026-06-01 19:18:24] INFO epoch 5 it 1400/1704 loss nan
[2026-06-01 19:18:25] INFO epoch 5 it 1450/1704 loss nan
[2026-06-01 19:18:26] INFO epoch 5 it 1500/1704 loss nan
[2026-06-01 19:18:26] INFO epoch 5 it 1550/1704 loss nan
[2026-06-01 19:18:27] INFO epoch 5 it 1600/1704 loss nan
[2026-06-01 19:18:28] INFO epoch 5 it 1650/1704 loss nan
[2026-06-01 19:18:29] INFO epoch 5 it 1700/1704 loss nan
[2026-06-01 19:18:31] INFO epoch 5 done in 75.6s lr=9.91e-05 avg_train_loss=nan
[2026-06-01 19:19:16] INFO epoch 5 val MAE(HU): nan
[2026-06-01 19:20:04] INFO epoch 6 it 50/1704 loss nan
[2026-06-01 19:20:04] INFO epoch 6 it 100/1704 loss nan
[2026-06-01 19:20:05] INFO epoch 6 it 150/1704 loss nan
[2026-06-01 19:20:06] INFO epoch 6 it 200/1704 loss nan
[2026-06-01 19:20:07] INFO epoch 6 it 250/1704 loss nan
[2026-06-01 19:20:08] INFO epoch 6 it 300/1704 loss nan
[2026-06-01 19:20:09] INFO epoch 6 it 350/1704 loss nan
[2026-06-01 19:20:10] INFO epoch 6 it 400/1704 loss nan
[2026-06-01 19:20:10] INFO epoch 6 it 450/1704 loss nan
[2026-06-01 19:20:11] INFO epoch 6 it 500/1704 loss nan
[2026-06-01 19:20:12] INFO epoch 6 it 550/1704 loss nan
[2026-06-01 19:20:13] INFO epoch 6 it 600/1704 loss nan
[2026-06-01 19:20:14] INFO epoch 6 it 650/1704 loss nan
[2026-06-01 19:20:15] INFO epoch 6 it 700/1704 loss nan
[2026-06-01 19:20:16] INFO epoch 6 it 750/1704 loss nan
[2026-06-01 19:20:16] INFO epoch 6 it 800/1704 loss nan
[2026-06-01 19:20:17] INFO epoch 6 it 850/1704 loss nan
[2026-06-01 19:20:18] INFO epoch 6 it 900/1704 loss nan
[2026-06-01 19:20:19] INFO epoch 6 it 950/1704 loss nan
[2026-06-01 19:20:20] INFO epoch 6 it 1000/1704 loss nan
[2026-06-01 19:20:21] INFO epoch 6 it 1050/1704 loss nan
[2026-06-01 19:20:22] INFO epoch 6 it 1100/1704 loss nan
[2026-06-01 19:20:22] INFO epoch 6 it 1150/1704 loss nan
[2026-06-01 19:20:23] INFO epoch 6 it 1200/1704 loss nan
[2026-06-01 19:20:24] INFO epoch 6 it 1250/1704 loss nan
[2026-06-01 19:20:25] INFO epoch 6 it 1300/1704 loss nan
[2026-06-01 19:20:26] INFO epoch 6 it 1350/1704 loss nan
[2026-06-01 19:20:27] INFO epoch 6 it 1400/1704 loss nan
[2026-06-01 19:20:28] INFO epoch 6 it 1450/1704 loss nan
[2026-06-01 19:20:28] INFO epoch 6 it 1500/1704 loss nan
[2026-06-01 19:20:29] INFO epoch 6 it 1550/1704 loss nan
[2026-06-01 19:20:30] INFO epoch 6 it 1600/1704 loss nan
[2026-06-01 19:20:31] INFO epoch 6 it 1650/1704 loss nan
[2026-06-01 19:20:32] INFO epoch 6 it 1700/1704 loss nan
[2026-06-01 19:20:34] INFO epoch 6 done in 77.1s lr=9.88e-05 avg_train_loss=nan
[2026-06-01 19:21:20] INFO epoch 6 val MAE(HU): nan
[2026-06-01 19:22:07] INFO epoch 7 it 50/1704 loss nan
[2026-06-01 19:22:08] INFO epoch 7 it 100/1704 loss nan
[2026-06-01 19:22:09] INFO epoch 7 it 150/1704 loss nan
[2026-06-01 19:22:10] INFO epoch 7 it 200/1704 loss nan
[2026-06-01 19:22:10] INFO epoch 7 it 250/1704 loss nan
[2026-06-01 19:22:11] INFO epoch 7 it 300/1704 loss nan
[2026-06-01 19:22:12] INFO epoch 7 it 350/1704 loss nan
[2026-06-01 19:22:13] INFO epoch 7 it 400/1704 loss nan
